District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2018 Incumbent,2016 President,,2012 President,,2008 President,,2018 US House,,2016 US House,,2014 US House,,2012 Two-Party,,2014-2018 ACS Citizen Adult Population,,,,,,2010 Census Adult Population by Race,,,,,,2014-2018 ACS Educational Attainment Among Adults 25+ and Median Household Income,,,,,,,,,,Non-College White Share,2013-2022 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2018 House,,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,ACS Citizen Population (Includes Latinos of Any Race),,,,,,,ACS Citizen Voting Age Population (Includes Latinos of Any Race),,,,,,,2010 Census Total Population (Includes Latinos of Any Race),,,,,,,2010 Census Voting Age Population (Includes Latinos of Any Race),,,,,,,2018 5-Year ACS Educational Attainment,,,,,2018 5-Year ACS White Educational Attainment,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,HS Rank,Bachelor's Degree or Higher,BA Rank (Bachelor's Degree Share),White BA (Bachelor's Degree or Higher Among Whites Only),White BA Rank (Bachelor's Degree Share),Median Income,Income Rank,White Income,White Rank,,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,< High School,High School,Some College,College,Total,< High School,High School,Some College,College
Nationwide,USA,232D - 197R - 1L - 5 Vacant,,,,,,,,,,,,48.4,46.3,51.1,47.3,53.0,45.7,53.4,44.8,48.1,48.9,45.7,51.4,50.6,49.4,68.7,12.5,12.1,4.4,0.7,1.7,67.0,11.7,14.2,5.0,0.7,1.6,87.7,271.5,31.5,175.6,35.2,198.5,"$60,293",193.5,"$65,912",213.5,44.5,,,,Sort Order,"135,942,537","65,853,652","62,985,134","128,946,952","65,918,507","60,934,407","131,203,377","69,499,428","59,950,323","113,694,609","60,728,431","50,982,112","1,984,066","122,870,494","59,152,447","60,057,692","3,660,355","77,882,347","35,624,515","40,020,896","2,236,936","59,655,241","58,337,833",,,,,"300,613,520","194,635,995","38,402,360","45,064,085","13,139,685","2,137,370","7,233,985","228,918,230","157,300,945","28,603,010","27,593,060","9,977,945","1,573,065","3,870,135","308,742,908","196,816,822","37,817,343","50,476,704","14,950,101","2,259,941","6,749,678","234,562,019","157,100,379","27,379,039","33,345,990","11,637,156","1,607,263","3,704,719","218,446,071","26,948,057","59,265,308","63,365,655","68,867,051","143,042,909","10,569,698","39,145,047","43,004,226","50,323,938"
Alabama's 1st,AL-01,Republican,Bradley,Byrne,(BRAD-lee BURN),/'bɹæd.li bɜɹn/,2016,1955,Man,White - Non-Hispanic,Christian - Episcopalian,No,Won,34.1,63.5,37.4,61.8,38.5,60.9,36.8,63.2,0.0,96.4,31.7,68.2,0.0,100.0,68.3,26.4,2.1,1.1,1.1,1.1,68.5,25.6,2.5,1.3,1.1,1.0 ,87.0 ,290 ,24.3 ,311 ,27.7 ,305 ,"$47,952",365,"$57,003",320,49.4,17-Dec-13,29.3,70.7,1,"303,478","103,364","192,634","298,837","111,735","184,786","301,556","115,975","183,753","242,617","89,226","153,228",163,"215,893",0,"208,083","7,810","152,234","48,278","103,758",198,0,"196,374","51,010","14,968","36,042",0,"695,990","458,390","194,055","18,370","7,770","7,255","10,150","534,355","365,070","140,815","11,025","5,710","5,840","5,895","682,423","449,539","187,508","19,086","9,296","7,644","9,350","515,948","353,347","132,261","12,904","6,918","5,524","4,994","482,421","62,851","159,203","143,142","117,225","331,580","35,848","105,275","98,664","91,793"
Alabama's 2nd,AL-02,Republican,Martha,Roby,(MAR-thuh ROH-bee),/'mɑɹ.θə 'ɹoʊ.bi/,2010,1976,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Won,33.0,64.9,36.4,62.9,35.0,64.5,38.4,61.4,40.5,48.8,32.6,67.3,36.3,63.7,65.3,30.5,1.9,0.6,0.4,1.3,66.5,27.8,3.0,1.2,0.5,1.0 ,84.5 ,346 ,22.5 ,344 ,25.2 ,352 ,"$46,817",373,"$54,917",351,48.8,,,,2,"285,664","94,299","185,505","289,864","105,572","182,287","288,807","101,076","186,164","226,230","86,931","138,879",420,"276,584","112,089","134,886","29,609","167,952","54,692","113,103",157,"103,092","180,591",,,,,"669,095","419,285","211,235","18,815","4,610","2,540","12,605","516,040","336,825","157,445","9,980","3,250","2,045","6,495","686,078","438,782","201,723","24,648","7,900","3,072","9,953","522,837","347,855","145,568","15,912","6,059","2,371","5,072","461,250","71,673","147,741","138,174","103,662","303,956","37,611","95,104","94,560","76,681"
Alabama's 3rd,AL-03,Republican,Mike,Rogers,(MAHYK RAH-jerz),/maɪk 'ɹɑ.dʒəɹz/,2002,1958,Man,White - Non-Hispanic,Christian - Baptist,No,Won,32.3,65.3,36.8,62.3,36.6,62.6,36.2,63.7,32.9,66.9,33.7,66.1,35.9,64.1,70.7,25.3,1.8,0.8,0.3,1.0,71.5,23.9,2.3,1.1,0.3,0.9 ,84.6 ,345 ,21.7 ,354 ,23.2 ,387 ,"$46,576",377,"$52,592",383,54.3,,,,3,"288,776","93,300","188,477","280,128","103,089","174,465","281,951","103,221","176,434","231,915","83,996","147,770",149,"287,104","94,549","192,164",391,"156,620","52,816","103,558",246,"98,141","175,306",,,,,"693,050","476,675","178,450","17,410","6,935","1,975","11,610","538,125","380,720","135,955","9,705","4,490","1,610","5,640","680,857","473,473","170,355","17,932","7,923","2,117","9,057","523,481","374,072","125,248","11,783","5,992","1,705","4,681","472,759","72,736","148,994","148,526","102,503","332,746","45,180","103,563","106,829","77,174"
Alabama's 4th,AL-04,Republican,Robert,Aderholt,(RAH-bert AD-er-hoHlt),/'ɹɑ.bəɹt 'æ.ɾəɹ.hoʊlt/,1996,1965,Man,White - Non-Hispanic,Christian - Congregationalist,No,Won,17.4,80.4,24.0,74.8,25.5,73.3,20.1,79.8,0.0,98.5,0.0,98.6,25.9,74.1,88.5,7.0,2.2,0.4,0.7,1.2,86.9,6.5,4.3,0.5,0.7,1.0 ,81.5 ,383 ,17.2 ,412 ,17.9 ,428 ,"$43,458",401,"$45,625",424,72.7,,,,4,"290,726","50,722","233,661","274,505","65,818","205,423","278,483","71,095","204,123","230,969","46,492","184,255",222,"239,444",0,"235,925","3,519","134,752",0,"132,831","1,921","69,706","199,071",,,,,"665,230","570,500","46,645","29,310","2,795","4,775","11,210","511,065","452,155","35,585","11,105","2,135","3,815","6,260","681,487","578,453","46,163","38,837","3,200","5,218","9,616","521,081","452,704","34,104","22,579","2,369","3,870","5,455","471,629","87,083","161,553","141,914","81,079","409,165","68,524","141,694","125,837","73,110"
Alabama's 5th,AL-05,Republican,Mo,Brooks,(MOH BROOKS),/moʊ bɹʊks/,2010,1954,Man,White - Non-Hispanic,Christian - Nondenominational Protestant,No,Won,31.3,64.7,34.9,63.9,36.3,62.6,38.9,61.0,33.2,66.7,0.0,74.4,35.0,65.0,76.6,17.3,2.4,1.2,0.7,1.8,76.1,16.3,3.9,1.6,0.7,1.4 ,87.8 ,268 ,31.8 ,171 ,33.0 ,226 ,"$55,043",256,"$59,834",281,51.4,,,,5,"309,937","97,159","200,571","297,263","103,598","189,860","294,444","107,005","184,225","260,673","101,388","159,063",222,"308,326","102,234","205,647",445,"154,974",0,"115,338","39,636","101,772","189,185",,,,,"696,775","517,560","122,865","26,480","8,890","4,345","16,635","540,510","414,195","93,455","12,955","6,615","3,520","9,770","683,019","506,307","114,887","32,572","11,051","4,753","13,449","523,079","398,175","85,119","20,508","8,381","3,628","7,268","490,800","59,951","132,457","142,109","156,283","373,728","38,756","103,468","108,222","123,282"
Alabama's 6th,AL-06,Republican,Gary,Palmer,(GAIR-ee PAWL-mer),/'gɛ.ɹi 'pɔl.məɹ/,2014,1954,Man,White - Non-Hispanic,Christian - Presbyterian,No,Won,26.1,70.8,24.7,74.3,25.0,74.1,30.8,69.2,25.4,74.5,23.7,76.2,28.7,71.3,80.7,15.1,1.8,1.0,0.2,1.0,80.8,12.5,4.1,1.6,0.3,0.8 ,90.4 ,154 ,36.1 ,120 ,38.0 ,163 ,"$65,464",152,"$69,555",185,50.0,,,,6,"329,849","86,116","233,493","314,343","77,517","233,566","313,838","78,559","232,644","278,328","85,644","192,542",142,"329,306","83,709","245,313",284,"178,449","42,291","135,945",213,"88,267","219,262",,,,,"683,330","533,600","107,165","22,235","8,085","1,410","10,840","519,890","419,620","78,730","9,515","5,430","1,175","5,420","682,422","537,110","91,612","33,409","10,985","1,830","7,476","517,305","417,809","64,797","21,238","8,052","1,410","3,999","482,235","46,509","123,025","138,627","174,074","381,501","30,196","97,818","108,401","145,086"
Alabama's 7th,AL-07,Democratic,Terri,Sewell,(TAIR-ee SOO-uhl),/'tɛ.ɹi 'su.əl/,2010,1965,Woman,Black - African-American,Christian - Methodist,No,Won,69.8,28.6,72.4,27.1,71.5,28.1,97.8,0.0,98.4,0.0,98.4,0.0,75.9,24.1,35.3,62.2,1.2,0.4,0.1,0.7,35.7,60.2,2.6,0.7,0.2,0.6 ,84.2 ,352 ,20.0 ,389 ,29.1 ,287 ,"$36,447",431,"$53,385",371,25.0,,,,7,"293,231","204,586","83,915","315,244","228,276","85,488","315,625","225,642","88,803","189,163","185,010",0,"4,153","233,028","229,330",0,"3,698","135,899","133,687",0,"2,212","232,520","73,835",,,,,"656,180","211,665","421,390","12,140","3,395",940,"6,645","511,120","180,260","318,085","5,955","2,235",760,"3,825","683,450","220,738","432,189","19,118","4,558","1,273","5,574","523,546","186,799","315,181","13,412","3,872","1,042","3,240","438,864","69,240","147,199","134,656","87,769","150,001","16,376","46,194","43,736","43,695"
Alaska's At-Large,AK-AL,Republican,Don,Young,(DAHN YUHNG),/dɑn jʌŋɡ/,1973 Special,1933,Man,White - Non-Hispanic,Christian - Episcopalian,No,Won,37.6,52.8,41.2,55.3,38.1,59.7,46.5,53.1,36.0,50.3,41.0,51.0,30.9,69.1,67.0,3.1,5.6,5.4,13.3,5.5,68.4,3.1,4.7,6.2,13.2,4.5 ,92.7 ,53 ,29.2 ,220 ,35.6 ,192 ,"$76,715",74,"$85,448",81,43.1,,,,8,"309,407","116,454","163,387","297,625","122,640","164,676","324,467","123,594","193,841","282,166","131,199","149,779","1,188","308,198","111,019","155,088","42,091","279,725","114,596","142,566","22,563","82,927","185,296",,,,,"713,900","447,265","21,300","47,320","40,705","103,540","53,770","530,385","355,115","16,430","29,915","28,725","70,780","29,425","708,570","454,831","21,862","39,038","44,357","102,124","46,358","521,588","356,564","16,051","24,290","32,158","69,054","23,471","477,727","34,760","133,851","169,471","139,645","319,930","13,693","78,166","114,235","113,836"
