Rank large,District,Land area (mi²),Land area (km²)
1,Alaska at-large,"571,951.26","1,481,353.76"
2,Montana at-large,"145,552.44","376,980.82"
3,Wyoming at-large,"97,100.40","251,490.04"
4,South Dakota at-large,"75,884.64","196,541.22"
5,New Mexico 2nd,"71,739.49","185,805.46"
6,Oregon 2nd,"69,442.78","179,856.98"
7,North Dakota at-large,"68,975.93","178,647.66"
8,Nebraska 3rd,"67,435.41","174,657.89"
9,Texas 23rd,"58,059.18","150,373.43"
10,Nevada 2nd,"55,829.71","144,599.09"
11,Arizona 1st,"55,039.61","142,552.73"
12,Kansas 1st,"52,542.5","136,085.21"
13,Nevada 4th,"50,997.97","132,084.87"
14,Colorado 3rd,"49,731.77","128,805.41"
15,New Mexico 3rd,"44,958.52","116,442.68"
16,Idaho 2nd,"43,225.09","111,953.1"
17,Utah 2nd,"39,987.95","103,568.89"
18,Idaho 1st,"39,418.02","102,092.77"
19,Texas 13th,"38,349.24","99,324.63"
20,Colorado 4th,"38,102.67","98,686.01"
21,Oklahoma 3rd,"34,116.73","88,362.42"
22,Minnesota 7th,"33,429.31","86,582"
23,Arizona 4th,"33,199.45","85,986.66"
24,California 8th,"32,867.21","85,126.16"
25,California 1st,"28,089.47","72,751.8"
26,Minnesota 8th,"27,908.13","72,282.13"
27,Texas 11th,"27,832.17","72,085.39"
28,Maine 2nd,"27,557.4","71,373.74"
29,Texas 19th,"25,835.59","66,914.25"
30,Michigan 1st,"25,027.75","64,821.94"
31,Wisconsin 7th,"23,037.26","59,666.56"
32,Iowa 4th,"22,756.75","58,940.04"
33,Arkansas 4th,"22,338.08","57,855.69"
34,Oklahoma 2nd,"20,995.35","54,378.01"
35,Utah 3rd,"20,070.54","51,982.75"
36,Missouri 8th,"19,901.17","51,544.08"
37,Utah 1st,"19,560.79","50,662.5"
38,Arkansas 1st,"19,318.29","50,034.42"
39,Washington 4th,"19,250.22","49,858.12"
40,Missouri 6th,"18,198.62","47,134.47"
41,Oregon 4th,"17,274.04",44739.81
42,Arizona 3rd,"15,688.79","40,634.01"
43,Mississippi 2nd,"15,551.51","40,278.45"
44,Washington 5th,"15,473.13","40,075.45"
45,New York 21st,"15,114.76","39,147.27"
46,Illinois 15th,"14,695.67","38,061.82"
47,Louisiana 5th,"14,452.88","37,433"
48,Missouri 4th,"14,401.38","37,299.61"
49,Kansas 4th,"14,315.68","37,077.65"
50,Kansas 2nd,"14,143.34","36,631.29"
51,California 2nd,"12,952.23","33,546.31"
52,California 4th,"12,836.2","33,245.79"
53,Mississippi 3rd,"12,754.48","33,034.14"
54,Louisiana 4th,"12,435.1","32,206.94"
55,Iowa 2nd,"12,261.92","31,758.40"
56,Kentucky 1st,"12,079.5","31,285.94"
57,Iowa 1st,"12,048.84","31,206.53"
58,Minnesota 1st,"11,973.99","31,012.67"
59,Kentucky 5th,"11,235.15","29,099.07"
60,Wisconsin 3rd,"11,111.79","28,779.56"
61,Mississippi 1st,"10,572.8","27,383.58"
62,Illinois 18th,"10,515.95","27,236.34"
63,Alabama 7th,"10,156.13","26,304.40"
